Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Brazil,BRA,1988,10.661271,74.05764,,0,588.7159,1.7252092,33.697563,126.26784,697.7388
Brazil,BRA,1986,10.195684,69.462074,,0,539.411,0.4086022,29.987183,117.9925,679.39355
Brazil,BRA,1970,1.6430006,3.6049886,,,117.691124,0,0.8110125,28.344795,301.26898
Brazil,BRA,1969,,,,,96.66989,0,0.755965,24.818419,263.56772
Brazil,BRA,1968,,,,,90.33602,0,0.7172897,22.236559,240.19615
Brazil,BRA,1967,,,,,86.311554,0,0.6787161,22.59709,199.99173
Brazil,BRA,1966,,,,,82.51774,0,0.6004025,21.864399,193.79759
Brazil,BRA,1965,,,,,75.447586,0,0.51342165,20.17805,177.73056
Canada,CAN,1988,7.932627,,,0.002957,909.082,235.13634,608.47504,333.4186,1002.7983
Canada,CAN,1984,7.460181,,,,846.0626,148.14665,541.11523,324.2714,899.10645
Canada,CAN,1987,7.3803763,,,0.002957,935.0177,219.22923,552.8691,310.48444,952.6294
Canada,CAN,1982,6.828125,,,,762.29706,108.78181,511.20673,278.24472,947.26935
Canada,CAN,1983,6.655746,,,,786.4172,137.9316,487.4895,291.11526,890.6957
Canada,CAN,1981,6.0588036,,,,786.60345,113.690704,482.727,263.31723,1043.3728
Canada,CAN,1986,5.9534607,,,0.002957,918.5443,202.22118,546.25397,288.88306,923.06506
Canada,CAN,1985,5.3533263,,,0.002957,897.875,171.72923,567.60046,311.69055,903.02344
Canada,CAN,1979,4.2935147,,,,721.86316,100.081985,500.634,211.7474,1121.5848
Canada,CAN,1980,4.1498656,,,,742.6419,107.91637,497.49075,257.8914,1101.6031
Canada,CAN,2016,36.261917,20.058672,10.794679,82.80911,1031.817,258.746,1051.926,213.09785,1273.5061
Canada,CAN,2017,35.577812,23.655487,9.510755,83.86688,1050.1116,256.89523,1097.8177,221.6048,1260.5651
Canada,CAN,2013,35.22792,21.47277,4.085374,30.37599,1067.7883,268.64478,1054.407,239.33687,1277.7136
Canada,CAN,2012,34.839138,21.906025,2.415116,31.01537,1042.668,247.86096,994.2352,245.40971,1285.4945
Canada,CAN,2018,33.650955,24.432734,10.045746,88.55608,1020.9701,253.962,1162.0444,181.72258,1300.6892
Canada,CAN,2019,32.902954,24.792374,10.754235,86.6591,1006.336,254.19629,1168.621,170.1786,1297.2765
Canada,CAN,2010,32.871906,10.408487,0.7093147,24.214682,975.2962,239.78362,915.72095,286.98526,1266.4891
Canada,CAN,2011,32.604485,16.785923,1.5771648,28.106756,1036.492,246.02522,1005.50793,258.7261,1268.1564
Canada,CAN,2002,32.069218,1.5438763,0.066364996,1.182128,1019.47485,210.06763,874.6652,371.2714,1183.052
Canada,CAN,2015,31.881115,20.805141,7.796024,72.619736,1029.2358,261.26126,1103.3245,228.95923,1277.9789
Canada,CAN,2021,31.481823,24.698872,13.519392,90.94714,1001.64905,230.96967,1169.7312,138.15527,1142.5413
Canada,CAN,2004,31.29805,1.6857156,0.041101385,2.723161,975.14624,248.20045,878.19775,349.85416,1280.9209
Canada,CAN,2014,31.268425,22.155497,5.743832,34.7227,1036.2336,276.95135,1098.4153,227.59932,1274.6562
Canada,CAN,2001,30.875477,1.5438763,0.05751889,0.9665322,973.9385,214.70778,840.42194,369.12305,1140.463
Canada,CAN,2020,30.47379,23.29899,11.241582,93.92787,1015.1783,245.74895,1136.4077,148.405,1103.0295
Canada,CAN,2003,30.061926,1.6811097,0.06609222,2.0010855,974.8459,206.97218,897.84796,370.35748,1227.1874
Canada,CAN,1978,3.6135752,,,,695.64355,88.53614,493.10925,223.62164,1079.6921
